,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
354,603000.SH,20231228,26.42,27.26,25.97,26.96,26.42,0.54,2.0439,264258.04,707384.397,26.96,2.39,5.5012,0.89,96.0971,110.8965,8.5363,15.0722,14.7168,0.3895,0.6046,110569.1056,110569.1056,48036.5035,2980943.087,2980943.087
355,603000.SH,20231227,26.36,26.6,26.22,26.42,26.29,0.13,0.4945,172824.45,456139.718,26.42,1.563,3.5978,0.47,94.1723,108.6753,8.3654,14.7703,14.422,0.3974,0.617,110569.1056,110569.1056,48036.5035,2921235.77,2921235.77
356,603000.SH,20231226,27.4,27.43,26.17,26.29,27.24,-0.95,-3.4875,242506.28,643427.227,26.29,2.1933,5.0484,0.69,93.7089,108.1406,8.3242,14.6977,14.351,0.3994,0.62,110569.1056,110569.1056,48036.5035,2906861.7862,2906861.7862
357,603000.SH,20231225,27.01,27.6,26.4,27.24,27.09,0.15,0.5537,257636.83,698202.606,27.24,2.3301,5.3634,0.76,97.0952,112.0483,8.625,15.2288,14.8696,0.3855,0.5984,110569.1056,110569.1056,48036.5035,3011902.4365,3011902.4365
358,603000.SH,20231222,28.46,28.46,26.66,27.09,28.52,-1.43,-5.014,425406.8,1165471.339,27.09,3.8474,8.8559,1.38,96.5605,111.4313,8.5775,15.1449,14.7877,0.3876,0.6017,110569.1056,110569.1056,48036.5035,2995317.0707,2995317.0707
359,603000.SH,20231221,28.33,28.82,27.68,28.52,29.18,-0.66,-2.2618,378520.31,1067192.738,28.52,3.4234,7.8798,1.36,101.6576,117.3134,9.0303,15.9444,15.5683,0.3682,0.5715,110569.1056,110569.1056,48036.5035,3153430.8917,3153430.8917
360,603000.SH,20231220,32.0,32.25,29.03,29.18,32.23,-3.05,-9.4632,524700.73,1584868.907,29.18,4.7455,10.923,2.34,104.0102,120.0282,9.2393,16.3134,15.9286,0.3598,0.5586,110569.1056,110569.1056,48036.5035,3226406.5014,3226406.5014
361,603000.SH,20231219,32.25,32.69,31.9,32.23,32.5,-0.27,-0.8308,160588.23,517587.836,32.23,1.4524,3.343,0.57,114.8817,132.574,10.205,18.0185,17.5935,0.3258,0.5057,110569.1056,110569.1056,48036.5035,3563642.2735,3563642.2735
362,603000.SH,20231218,32.89,33.25,32.4,32.5,32.44,0.06,0.185,207515.68,678926.174,32.5,1.8768,4.32,0.69,115.8441,133.6846,10.2905,18.1694,17.7409,0.3231,0.5015,110569.1056,110569.1056,48036.5035,3593495.932,3593495.932
363,603000.SH,20231215,32.89,33.3,32.0,32.44,33.01,-0.57,-1.7267,275336.24,896241.666,32.44,2.4902,5.7318,0.89,115.6302,133.4378,10.2715,18.1359,17.7082,0.3237,0.5025,110569.1056,110569.1056,48036.5035,3586861.7857,3586861.7857
