"ts_code","symbol","industry","name","list_date"
"000788.SZ","000788","化学制药","北大医药","19970616"
"000789.SZ","000789","水泥","万年青","19970923"
"000790.SZ","000790","中成药","华神科技","19980327"
"000791.SZ","000791","水力发电","甘肃能源","19971014"
"000792.SZ","000792","农药化肥","盐湖股份","19970904"
"000793.SZ","000793","出版业","ST华闻","19970729"
"000795.SZ","000795","矿物制品","英洛华","19970808"
"000796.SZ","000796","旅游服务","凯撒旅业","19970703"
"000797.SZ","000797","全国地产","中国武夷","19970715"
"000798.SZ","000798","渔业","中水渔业","19980212"
"000799.SZ","000799","白酒","酒鬼酒","19970718"
"000800.SZ","000800","汽车整车","一汽解放","19970618"
"000801.SZ","000801","家用电器","四川九洲","19980506"
"000802.SZ","000802","影视音像","北京文化","19980108"
"000803.SZ","000803","环境保护","山高环能","19980303"
"000807.SZ","000807","铝","云铝股份","19980408"
"000809.SZ","000809","区域地产","和展能源","19980616"
"000810.SZ","000810","家用电器","创维数字","19980602"
"000811.SZ","000811","工程机械","冰轮环境","19980528"
"000812.SZ","000812","广告包装","陕西金叶","19980623"
"000813.SZ","000813","化学制药","德展健康","19980519"
"000815.SZ","000815","造纸","美利云","19980609"
"000816.SZ","000816","农用机械","智慧农业","19970818"
"000818.SZ","000818","化工原料","航锦科技","19971017"
"000819.SZ","000819","石油加工","岳阳兴长","19970625"
"000820.SZ","000820","综合类","*ST节能","19980630"
"000821.SZ","000821","电气设备","京山轻机","19980626"
"000822.SZ","000822","化工原料","山东海化","19980703"
"000823.SZ","000823","元器件","超声电子","19971008"
"000825.SZ","000825","特种钢","太钢不锈","19981021"
"000826.SZ","000826","环境保护","启迪环境","19980225"
"000828.SZ","000828","路桥","东莞控股","19970617"
"000829.SZ","000829","其他商业","天音控股","19971202"
"000830.SZ","000830","化工原料","鲁西化工","19980807"
"000831.SZ","000831","小金属","中国稀土","19980911"
"000833.SZ","000833","综合类","粤桂股份","19981111"
"000837.SZ","000837","机床制造","秦川机床","19980928"
"000838.SZ","000838","区域地产","财信发展","19970626"
"000839.SZ","000839","综合类","中信国安","19971031"
"000848.SZ","000848","软饮料","承德露露","19971113"
"000850.SZ","000850","纺织","华茂股份","19981007"
"000851.SZ","000851","通信设备","*ST高鸿","19980609"
"000852.SZ","000852","化工机械","石化机械","19981126"
"000856.SZ","000856","专用机械","冀东装备","19980813"
"000858.SZ","000858","白酒","五粮液","19980427"
"000859.SZ","000859","塑料","国风新材","19981119"
"000860.SZ","000860","白酒","顺鑫农业","19981104"
"000862.SZ","000862","新型电力","银星能源","19980915"
"000863.SZ","000863","区域地产","三湘印象","19970925"
"000868.SZ","000868","汽车整车","安凯客车","19970725"
"000869.SZ","000869","红黄酒","张裕A","20001026"
"000875.SZ","000875","火力发电","吉电股份","20020926"
"000876.SZ","000876","饲料","新希望","19980311"
"000877.SZ","000877","水泥","天山股份","19990107"
"000878.SZ","000878","铜","云南铜业","19980602"
"000880.SZ","000880","专用机械","潍柴重机","19980402"
"000881.SZ","000881","化工原料","中广核技","19980902"
"000882.SZ","000882","其他商业","华联股份","19980616"
"000883.SZ","000883","水力发电","湖北能源","19980519"
"000885.SZ","000885","环境保护","城发环境","19990319"
"000886.SZ","000886","区域地产","海南高速","19980123"
"000887.SZ","000887","汽车配件","中鼎股份","19981203"
"000888.SZ","000888","旅游景点","峨眉山A","19971021"
"000889.SZ","000889","通信设备","中嘉博创","19971218"
"000890.SZ","000890","环境保护","法尔胜","19990119"
"000892.SZ","000892","影视音像","欢瑞世纪","19990115"
"000893.SZ","000893","农药化肥","亚钾国际","19981224"
"000895.SZ","000895","食品","双汇发展","19981210"
"000897.SZ","000897","区域地产","津滨发展","19990422"
"000898.SZ","000898","普钢","鞍钢股份","19971225"
"000899.SZ","000899","火力发电","赣能股份","19971126"
"000900.SZ","000900","路桥","现代投资","19990128"
"000901.SZ","000901","汽车配件","航天科技","19990401"
"000902.SZ","000902","农药化肥","新洋丰","19990408"
"000903.SZ","000903","汽车配件","云内动力","19990415"
"000905.SZ","000905","港口","厦门港务","19990429"
"000906.SZ","000906","仓储物流","浙商中拓","19990707"
"000908.SZ","000908","化学制药","ST景峰","19990203"
"000909.SZ","000909","区域地产","ST数源","19990507"
"000910.SZ","000910","家居用品","大亚圣象","19990630"
"000911.SZ","000911","食品","广农糖业","19990527"
"000912.SZ","000912","农药化肥","泸天化","19990603"
"000913.SZ","000913","摩托车","钱江摩托","19990514"
"000915.SZ","000915","化学制药","华特达因","19990609"
"000917.SZ","000917","广告包装","电广传媒","19990325"
"000919.SZ","000919","化学制药","金陵药业","19991118"
"000920.SZ","000920","塑料","沃顿科技","19990616"
"000921.SZ","000921","家用电器","海信家电","19990713"
"000922.SZ","000922","电气设备","佳电股份","19990618"
"000923.SZ","000923","普钢","河钢资源","19990714"
"000925.SZ","000925","运输设备","众合科技","19990611"
"000926.SZ","000926","区域地产","福星股份","19990618"
"000927.SZ","000927","仓储物流","中国铁物","19990727"
"000928.SZ","000928","建筑工程","中钢国际","19990312"
"000929.SZ","000929","啤酒","*ST兰黄","19990623"
"000930.SZ","000930","农业综合","中粮科技","19990712"
"000931.SZ","000931","化学制药","中关村","19990712"
"000932.SZ","000932","普钢","华菱钢铁","19990803"
"000933.SZ","000933","铝","神火股份","19990831"
"000935.SZ","000935","水泥","四川双马","19990824"
"000936.SZ","000936","化纤","华西股份","19990810"
"000937.SZ","000937","煤炭开采","冀中能源","19990909"
"000938.SZ","000938","IT设备","紫光股份","19991104"
"000948.SZ","000948","软件服务","南天信息","19991014"
"000949.SZ","000949","化纤","新乡化纤","19991021"
"000950.SZ","000950","医药商业","重药控股","19990916"
"000951.SZ","000951","汽车整车","中国重汽","19991125"
"000952.SZ","000952","化学制药","广济药业","19991112"
"000953.SZ","000953","化学制药","河化股份","19991202"
"000955.SZ","000955","纺织","欣龙控股","19991209"
"000957.SZ","000957","汽车整车","中通客车","20000113"
"000958.SZ","000958","多元金融","电投产融","19991223"
"000959.SZ","000959","普钢","首钢股份","19991216"
"000960.SZ","000960","小金属","锡业股份","20000221"
"000962.SZ","000962","小金属","东方钽业","20000120"
"000963.SZ","000963","化学制药","华东医药","20000127"
"000965.SZ","000965","区域地产","天保基建","20000406"
"000966.SZ","000966","火力发电","长源电力","20000316"
"000967.SZ","000967","环境保护","盈峰环境","20000330"
"000968.SZ","000968","石油开采","蓝焰控股","20000622"
"000969.SZ","000969","小金属","安泰科技","20000529"
"000970.SZ","000970","矿物制品","中科三环","20000420"
"000972.SZ","000972","食品","*ST中基","20000926"
"000973.SZ","000973","塑料","佛塑科技","20000525"
"000975.SZ","000975","黄金","山金国际","20000608"
"000977.SZ","000977","IT设备","浪潮信息","20000608"
"000978.SZ","000978","旅游景点","桂林旅游","20000518"
"000980.SZ","000980","汽车配件","众泰汽车","20000616"
"000981.SZ","000981","汽车配件","山子高科","20000622"
"000983.SZ","000983","煤炭开采","山西焦煤","20000726"
"000985.SZ","000985","化工原料","大庆华科","20000726"
"000987.SZ","000987","多元金融","越秀资本","20000718"
"000988.SZ","000988","专用机械","华工科技","20000608"
"000989.SZ","000989","中成药","九芝堂","20000628"
"000990.SZ","000990","化工原料","诚志股份","20000706"
"000993.SZ","000993","水力发电","闽东电力","20000731"
"000995.SZ","000995","白酒","皇台酒业","20000807"
"000997.SZ","000997","IT设备","新大陆","20000807"
"000998.SZ","000998","种植业","隆平高科","20001211"
"000999.SZ","000999","中成药","华润三九","20000309"
"001201.SZ","001201","农业综合","东瑞股份","20210428"
"001202.SZ","001202","仓储物流","炬申股份","20210429"
"001203.SZ","001203","普钢","大中矿业","20210510"
"001205.SZ","001205","水运","盛航股份","20210513"
"001206.SZ","001206","造纸","依依股份","20210518"
"001207.SZ","001207","化工原料","联科科技","20210623"
"001208.SZ","001208","电气设备","华菱线缆","20210624"
"001209.SZ","001209","服饰","洪兴股份","20210723"
"001210.SZ","001210","供气供热","金房能源","20210729"
"001211.SZ","001211","家居用品","双枪科技","20210805"
"001212.SZ","001212","其他建材","中旗新材","20210823"
"001213.SZ","001213","铁路","中铁特货","20210908"
"001215.SZ","001215","食品","千味央厨","20210906"
"001216.SZ","001216","家居用品","华瓷股份","20211019"
"001217.SZ","001217","化工原料","华尔泰","20210929"
"001218.SZ","001218","化工原料","丽臣实业","20211015"
"001219.SZ","001219","食品","青岛食品","20211021"
"001222.SZ","001222","文教休闲","源飞宠物","20220818"
"001223.SZ","001223","专用机械","欧克科技","20221212"
"001225.SZ","001225","专用机械","和泰机电","20230222"
"001226.SZ","001226","工程机械","拓山重工","20220622"
"001227.SZ","001227","银行","兰州银行","20220117"
"001228.SZ","001228","仓储物流","永泰运","20220429"
"001229.SZ","001229","IT设备","魅视科技","20220808"
"001230.SZ","001230","环境保护","劲旅环境","20220715"
"001231.SZ","001231","农药化肥","农心科技","20220819"
"001234.SZ","001234","服饰","泰慕士","20220111"
"001236.SZ","001236","多元金融","弘业期货","20220805"
"001238.SZ","001238","家居用品","浙江正特","20220919"
"001239.SZ","001239","工程机械","永达股份","20231212"
"001255.SZ","001255","新型电力","博菲电气","20220930"
"001256.SZ","001256","轻工机械","炜冈科技","20221205"
"001258.SZ","001258","新型电力","立新能源","20220727"
"001259.SZ","001259","家用电器","利仁科技","20220831"
"001260.SZ","001260","汽车配件","坤泰股份","20230216"
"001266.SZ","001266","电器仪表","宏英智能","20220228"
"001267.SZ","001267","建筑工程","汇绿生态","20211117"
"001268.SZ","001268","机械基件","联合精密","20220630"
