股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
000608.SZ,20201120,week,4.03,4.1,3.9,3.95,4.02,4.03,4.1,3.9,3.95,44.83,45.61,43.39,43.94,240655.85,96046.86,-0.07,-0.02
000608.SZ,20201113,week,3.87,4.27,3.74,4.02,4.3,3.87,4.27,3.74,4.02,43.05,47.51,41.61,44.72,976352.81,387685.91,-0.28,-0.07
000608.SZ,20201106,week,4.41,4.8,4.28,4.3,4.41,4.41,4.8,4.28,4.3,49.06,53.4,47.62,47.84,832850.01,380655.66,-0.11,-0.02
000608.SZ,20201030,week,4.5,4.56,4.21,4.41,4.52,4.5,4.56,4.21,4.41,50.06,50.73,46.84,49.06,316831.78,139048.83,-0.11,-0.02
000608.SZ,20201023,week,4.65,4.75,4.41,4.52,4.68,4.65,4.75,4.41,4.52,51.73,52.85,49.06,50.29,299611.53,137709.2,-0.16,-0.03
000608.SZ,20201016,week,4.23,4.75,4.2,4.68,4.19,4.23,4.75,4.2,4.68,47.06,52.85,46.73,52.07,435428.46,192552.89,0.49,0.12
000608.SZ,20201009,week,4.15,4.25,4.15,4.19,4.15,4.15,4.25,4.15,4.19,46.17,47.28,46.17,46.62,18202.4,7647.34,0.04,0.01
000608.SZ,20201002,week,4.28,4.32,4.08,4.15,4.32,4.28,4.32,4.08,4.15,47.62,48.06,45.39,46.17,40083.23,16775.45,-0.17,-0.04
000608.SZ,20200925,week,4.42,4.65,4.2,4.32,4.39,4.42,4.65,4.2,4.32,49.17,51.73,46.73,48.06,165377.01,72944.36,-0.07,-0.02
000608.SZ,20200918,week,4.43,4.45,4.26,4.39,4.4,4.43,4.45,4.26,4.39,49.29,49.51,47.39,48.84,96526.13,42087.9,-0.01,0.0
000608.SZ,20200911,week,4.52,4.6,4.32,4.4,4.52,4.52,4.6,4.32,4.4,50.29,51.18,48.06,48.95,151995.97,67677.52,-0.12,-0.03
000608.SZ,20200904,week,4.63,4.63,4.43,4.52,4.57,4.63,4.63,4.43,4.52,51.51,51.51,49.29,50.29,134587.8,60689.39,-0.05,-0.01
000608.SZ,20200828,week,4.68,4.7,4.4,4.57,4.65,4.68,4.7,4.4,4.57,52.07,52.29,48.95,50.84,116317.69,53031.99,-0.08,-0.02
000608.SZ,20200821,week,4.83,4.91,4.5,4.65,4.83,4.83,4.91,4.5,4.65,53.74,54.63,50.06,51.73,333355.32,155713.12,-0.18,-0.04
000608.SZ,20200814,week,4.63,4.85,4.59,4.83,4.62,4.63,4.85,4.59,4.83,51.51,53.96,51.07,53.74,229999.52,108980.33,0.21,0.05
000608.SZ,20200807,week,4.65,4.69,4.47,4.62,4.62,4.65,4.69,4.47,4.62,51.73,52.18,49.73,51.4,195753.46,89819.72,0.0,0.0
000608.SZ,20200731,week,4.39,4.7,4.29,4.62,4.37,4.39,4.7,4.29,4.62,48.84,52.29,47.73,51.4,139880.9,62648.43,0.25,0.06
000608.SZ,20200724,week,4.63,4.81,4.35,4.37,4.65,4.63,4.81,4.35,4.37,51.51,53.51,48.4,48.62,242926.28,112517.63,-0.28,-0.06
000608.SZ,20200717,week,5.1,5.78,4.64,4.65,5.09,5.1,5.78,4.64,4.65,56.74,64.3,51.62,51.73,761973.4,399711.87,-0.44,-0.09
000608.SZ,20200710,week,5.1,5.28,4.98,5.09,5.1,5.1,5.28,4.98,5.09,56.74,58.74,55.4,56.63,603315.3,308471.98,-0.01,0.0
000608.SZ,20200703,week,4.56,5.18,4.54,5.1,4.65,4.56,5.18,4.54,5.1,50.73,57.63,50.51,56.74,282868.71,138229.65,0.45,0.1
000608.SZ,20200626,week,4.78,4.82,4.63,4.65,4.78,4.78,4.82,4.63,4.65,53.18,53.62,51.51,51.73,54958.43,25868.46,-0.13,-0.03
000608.SZ,20200619,week,4.93,4.94,4.76,4.78,4.87,4.93,4.94,4.76,4.78,54.85,54.96,52.96,53.18,98577.89,47531.21,-0.09,-0.02
000608.SZ,20200612,week,5.03,5.06,4.71,4.87,5.03,5.03,5.06,4.71,4.87,55.96,56.29,52.4,54.18,109568.02,54167.27,-0.16,-0.03
000608.SZ,20200605,week,5.18,5.37,5.03,5.03,5.18,5.18,5.37,5.03,5.03,57.63,59.74,55.96,55.96,102036.62,52543.48,-0.15,-0.03
