股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20220603,week,12.12,12.93,11.97,12.88,12.12,9.74,10.4,9.62,10.36,88.29,94.2,87.2,93.83,585574.78,728397.68,0.76,0.06
600580.SH,20220527,week,12.38,12.82,11.9,12.12,12.41,9.95,10.31,9.57,9.74,90.19,93.39,86.69,88.29,630372.78,777315.09,-0.29,-0.02
600580.SH,20220520,week,11.92,12.45,11.86,12.41,11.8,9.58,10.01,9.54,9.98,86.84,90.7,86.4,90.41,699354.92,849273.97,0.61,0.05
600580.SH,20220513,week,11.0,12.12,10.96,11.8,11.04,8.84,9.74,8.81,9.49,80.14,88.29,79.84,85.96,692094.98,808307.38,0.76,0.07
600580.SH,20220506,week,10.9,11.54,10.88,11.04,10.91,8.76,9.28,8.75,8.88,79.41,84.07,79.26,80.43,345067.54,387088.19,0.13,0.01
600580.SH,20220429,week,10.92,11.0,9.7,10.91,11.19,8.78,8.84,7.8,8.77,79.55,80.14,70.66,79.48,709466.8,734717.53,-0.28,-0.03
600580.SH,20220422,week,11.7,12.25,10.91,11.19,11.63,9.41,9.85,8.77,9.0,85.23,89.24,79.48,81.52,514351.23,601721.25,-0.44,-0.04
600580.SH,20220415,week,12.17,12.24,11.49,11.63,12.26,9.78,9.84,9.24,9.35,88.66,89.17,83.7,84.72,487749.96,577252.84,-0.63,-0.05
600580.SH,20220408,week,13.15,13.18,12.13,12.26,13.18,10.57,10.6,9.75,9.86,95.8,96.02,88.37,89.31,285080.99,360078.26,-0.92,-0.07
600580.SH,20220401,week,12.9,13.37,12.41,13.18,13.07,10.37,10.75,9.98,10.6,93.98,97.4,90.41,96.02,590856.44,763928.55,0.11,0.01
600580.SH,20220325,week,13.82,13.96,13.06,13.07,13.82,11.11,11.22,10.5,10.51,100.68,101.7,95.14,95.21,438611.98,594326.48,-0.75,-0.05
600580.SH,20220318,week,14.01,14.04,12.6,13.82,14.25,11.26,11.29,10.13,11.11,102.06,102.28,91.79,100.68,785426.09,1060906.5,-0.43,-0.03
600580.SH,20220311,week,13.75,14.25,12.9,14.25,13.93,11.06,11.46,10.37,11.46,100.17,103.81,93.98,103.81,792483.86,1079810.93,0.32,0.02
600580.SH,20220304,week,15.37,15.54,13.78,13.93,15.4,12.36,12.49,11.08,11.2,111.97,113.21,100.39,101.48,803797.68,1183591.53,-1.47,-0.1
600580.SH,20220225,week,14.8,15.58,14.55,15.4,14.76,11.9,12.53,11.7,12.38,107.82,113.5,106.0,112.19,884961.91,1339770.79,0.64,0.04
600580.SH,20220218,week,14.47,15.4,14.17,14.76,14.57,11.63,12.38,11.39,11.87,105.41,112.19,103.23,107.53,691004.73,1030550.75,0.19,0.01
600580.SH,20220211,week,15.12,15.51,14.46,14.57,14.87,12.16,12.47,11.63,11.71,110.15,112.99,105.34,106.14,765359.82,1140629.58,-0.3,-0.02
